lat,lon,label
30.7666,78.7963,1
30.7652,78.5925,1
30.7331,79.0685,1
30.4043,79.3318,1
30.4954,78.3881,1
30.885,78.6695,1
30.56504675,79.56163208,1
30.73315585,79.49231617,1
30.33597362,79.31958144,1
30.922325,78.681379,1
30.995694,78.936314,1
30.4619,79.0765,1
30.1281,78.3221,1
30.819,78.6149,1
30.80200029,78.61786282,1
30.2835,79.2498,1
30.6145,79.8102,1
30.2828,78.3041,1
30.7412,79.4929,1
30.7313,78.4358,1
30.2851,78.9829,1
30.8987,78.3399,1
30.7467,78.4517,1
30.262,79.2191,1
30.2258,78.3755,1
30.9013,79.5322,1
30.241,78.9,1
30.4542,78.3911,1
30.506,79.1127,1
30.7221,78.6437,1
30.5631,79.5765,1
30.4783,78.2741,1
30.688,79.0478,1
30.6463,79.5306,1
30.3797,78.5017,1
30.6945,79.0544,1
30.9753,78.4375,1
30.301,79.3628,1
30.6594,79.5605,1
30.6785,78.3475,1
30.6509,79.5192,1
30.966,78.4151,1
30.9015,78.7756,1
30.3642,79.3158,1
30.7394,78.5306,1
30.9085,78.3299,1
30.6004,78.3154,1
30.0667,79.0193,1
30.6521,79.5566,1
30.6014,78.3449,1
30.4749,79.2293,1
30.2524,78.9228,1
30.15,78.7753,1
30.796,78.623,1
30.9206,78.3276,1
30.3056,79.3286,1
30.5151,78.3684,1
30.557,79.56,1
30.1035,78.4265,1
30.8928,78.48,1
30.4521,78.754,1
30.742,78.4543,1
30.81507336,78.2242533,1
30.2902,79.151,1
30.2733,79.233,1
30.6326,78.9953,1
30.1642,78.2936,1
30.1176,78.7472,1
30.7866,78.6171,1
30.4008,79.0278,1
30.1454,78.6007,1
30.3799,78.4862,1
30.6179,78.3233,1
30.3629,79.2143,1
30.5345,79.0853,1
30.9936,78.4594,1
30.2485,78.8847,1
30.4,79.349,1
30.0702,78.3027,1
30.6509,79.0264,1
30.5004,79.3888,1
30.383,78.5094,1
30.5568,79.5541,1
30.4054,79.3426,1
30.638,78.3297,1
30.0261,78.6278,1
30.6539,78.3366,1
30.4605,79.4774,1
30.3351,78.5113,1
30.1944,79.1939,1
30.6293,78.3303,1
30.3846,78.8371,1
30.4238,79.6724,1
30.135,78.3896,1
30.75402442,79.49970189,1
30.9111,78.6814,1
30.4091,79.0579,1
30.0134,79.9261,1
30.67629482,79.04191791,1
30.7284,79.4971,1
30.416,78.3415,1
30.2414,78.908,1
30.7204,79.0758,1
30.7991,79.4356,1
30.5319,79.3541,1
30.7362,78.44,1
30.3299,79.3206,1
30.50415824,79.48751264,1
30.81350174,78.6179215,1
30.61461423,78.3157525,1
30.59661,79.569767,1
30.556,79.568,1
30.555,79.574,1
30.548,79.55,1
30.551,79.556,1
30.56,79.572,1
30.42,79.42,1
30.435,79.435,1
30.41,79.41,1
30.38,79.38,1
30.39,79.39,1
