lat,lon,risk_score,risk_level,slope,NDVI,rainfall,competency_index,elevation,FS
30.9015,78.7756,0.9069,High,17.126462936401367,0.0601078011374423,1082.8579723834991,0.3799999952316284,4840,2.462989952570052
30.3629,79.2143,0.8499,High,36.44845581054688,0.6255796019846764,1048.3083617687223,0.449999988079071,1476,1.2418816413974685
30.25813343270113,79.43953272182098,0.0068,Low,30.917499542236328,0.4760320431434934,1310.6355774402618,0.3799999952316284,1381,1.309291014880043
30.059762274178382,79.78278769822849,0.0069,Low,30.6081657409668,0.5123896475279734,1424.5852088928225,0.5799999833106995,1795,1.5969314411854196
30.31577315124949,79.95660800821261,0.2206,Low,24.90057182312012,0.0419857483564168,1180.3219211101532,0.3799999952316284,5082,1.6613474406784314
30.843993471942024,78.74627157539281,0.1058,Low,32.09962844848633,0.7788955082352458,1218.107212781906,0.3799999952316284,3409,1.2767286940271994
30.80967425808808,78.71551384116964,0.0501,Low,29.52548217773437,0.7024745198556835,1218.107212781906,0.3799999952316284,3280,1.3896820812108288
30.663704478926256,78.27892463367974,0.0223,Low,39.64593124389648,0.550038805398486,1581.4806699752808,0.5799999833106995,1591,1.2356080178365592
30.81350174,78.6179215,0.9269,High,39.810638427734375,0.4744576731417659,1235.0772643089294,0.3799999952316284,2460,1.0273149614637802
30.2851,78.9829,0.9798,High,30.9285945892334,0.367232324331792,1165.2271234989166,0.449999988079071,631,1.438865373547597
30.0261,78.6278,0.9335,High,34.37165832519531,0.7690940816109845,1416.766995191574,0.5799999833106995,796,1.432526875105018
30.99687425184595,79.80036631684813,0.0239,Low,21.79112434387207,0.0670920140172406,494.0360748767853,0.4199999868869781,5426,2.171804892763293
30.344596595726973,79.34903774879386,0.0885,Low,19.4249324798584,0.6345094507354455,1233.693166971207,0.3799999952316284,1899,2.1212207657849094
30.572770276686946,79.02891648783472,0.114,Low,33.50566101074219,0.8045562252352347,1322.8732430934906,0.3799999952316284,1767,1.205269251586787
30.435,79.435,0.9332,High,14.702216148376465,0.5592121795038428,1293.257737159729,0.5799999833106995,1297,3.3488294724036005
30.3931039075594,78.57958011309324,0.0653,Low,39.42586135864258,0.6886270804968185,1303.1884288787842,0.5799999833106995,830,1.2814672561358529
30.92421843484266,79.3367664375368,0.0791,Low,28.442142486572266,0.0783756997830337,1075.329805612564,0.3799999952316284,5290,1.4723295029858752
30.41,79.41,0.352,Medium,38.08348846435547,0.880283134276643,1293.257737159729,0.5799999833106995,1809,1.3230729482403
30.819,78.6149,0.9511,High,41.241546630859375,0.4438263491331785,1235.0772643089294,0.3799999952316284,2068,0.9926795853522036
