lat,lon,elevation,slope,aspect,curvature,NDVI,rainfall
30.69287609485228,78.71530414568437,2641,15.27530288696289,310.69268798828125,17.0,0.8096936451478471,1480.2796149253843
30.782188055910996,79.30534071917118,4942,41.54670715332031,267.90631103515625,11.0,0.0633949260293503,1378.5353636741638
30.384875352909955,78.73118290779279,1372,21.407079696655277,253.19955444335935,7.0,0.6982028140148976,1389.197916984558
30.485978877515787,78.97173074585312,1881,15.1215238571167,44.03950119018555,-4.0,0.5713999566008447,1340.8130764961245
30.115727981594517,79.21951998635402,2070,24.69552421569824,110.61090850830078,-27.0,0.4351970982002492,1347.3098492622375
30.341377305499023,78.34987620031372,1320,26.33764266967773,60.62717819213867,3.0,0.7267302277785713,1590.564455986023
30.669564267882194,79.43365659482774,3926,46.84198760986328,118.06997680664062,-56.0,0.2820157559657399,1282.2260332107544
30.415508632909702,79.38019356604606,1272,28.244291305541992,250.64166259765625,23.0,0.4370484283649959,1112.9044151306152
30.76809700493637,79.32297715276876,5534,55.69186782836914,229.3294219970703,-230.0,-0.011970794521336,1378.5353636741638
30.96252545628121,79.27597179778031,6043,45.73804473876953,6.337541580200195,-15.0,-0.7869328349306082,927.2868239879608
30.369684146527103,78.97742838587294,834,23.704269409179688,79.37696075439453,5.0,0.6095527678420322,1262.660962343216
30.084007352140777,78.34807710224582,806,14.192693710327148,333.6512145996094,26.0,0.7255867707894539,1727.576603889465
30.42069153468423,78.90792392474222,1429,39.63420104980469,151.57908630371094,36.0,0.5886220153070223,1461.8737745285034
30.040081366918752,79.24991039503972,1765,15.192349433898926,146.57139587402344,7.0,0.5801344747120871,1260.979769229889
30.785436685163887,78.69160521687263,2624,27.916114807128903,95.2589874267578,-29.0,0.7909872476525021,1321.3262391090393
30.99581155306841,79.51227300896868,6156,43.23463439941406,198.74563598632807,-31.0,0.0608166162351974,821.1025834083557
30.31853346672765,79.52741303934665,2811,29.57304000854492,145.8202667236328,-41.0,0.7800817534280006,1067.99134850502
30.330144406616593,78.64906765805783,1074,22.57955551147461,234.2735137939453,7.0,0.4727762609892449,1243.4848833084106
30.174531732478158,78.44794254559355,826,19.253416061401367,202.0410003662109,25.0,0.5725006918781644,1581.619732379913
30.25749862970748,79.7260965745964,4474,26.134885787963867,287.2734375,1.0,0.2703325739090578,1362.612805366516
30.149312284752188,78.22754917418149,515,2.335810899734497,293.3816833496094,-6.0,0.8129007524561945,1806.3059401512144
30.29643603600761,79.50397301769577,1920,26.14307403564453,287.2669982910156,-2.0,0.7387495140986157,1077.8299701213837
30.9227031557896,79.92665812677323,5409,33.1098518371582,60.23438262939453,25.0,0.0529392891519018,471.62870943546295
30.565805359242898,79.14599944365159,2124,27.64890480041504,16.684036254882812,16.0,0.7805472793982527,1160.3333973884585
30.770567202129445,79.07813413669288,4606,26.66463279724121,177.8499298095703,31.0,0.1072898280906211,1553.5028457641602
30.392353023480716,79.20627075689814,1389,31.359790802001957,169.35289001464844,10.0,0.4054480031451808,1048.3083617687223
30.415950233134392,79.34930852877716,1306,25.348108291625977,82.1439437866211,-3.0,0.6345790540308455,1075.1364409923551
30.276642218695276,79.5439880644973,1971,33.58975601196289,18.086990356445312,-2.0,0.6812485427838658,1077.8299701213837
30.21923149734856,78.72571814612667,743,23.0517692565918,28.96340751647949,-3.0,0.7426605315568986,1312.2643828392029
30.736024895715346,79.0727179443626,3727,33.78836441040039,253.1241149902344,31.0,0.4457914790439903,1531.723654270172
30.551181455392495,78.76211220973245,2040,44.16415023803711,216.86790466308597,-72.0,0.674742649017977,1523.5436868667605
30.427725730173126,79.47069074792323,2520,37.264793395996094,-0.0,5.0,0.8851628133027841,1129.7407126426697
30.570320750774272,79.1974818348655,3412,47.23258209228516,229.9214782714844,-27.0,0.5503572558751519,1122.0210087299347
30.116997495879527,79.49823307115501,1929,22.86280059814453,122.51216888427734,23.0,0.7337578286421778,1381.5794205665588
30.172954614652735,79.42874508314783,1996,33.652069091796875,214.23228454589844,-40.0,0.6275443730109571,1385.411033630371
30.839293808179207,78.63587006324914,1967,32.48872756958008,55.99561309814453,-26.0,0.5045247428399924,1235.0772643089294
30.318667297373683,79.81913244017277,5450,25.09471702575684,106.05284881591795,-11.0,0.0387164379660529,1388.709980249405
30.43269919662467,79.5010564655491,2894,32.46576690673828,30.10926055908203,11.0,0.8121192371992858,1129.6328914165497
30.315944199205344,78.20883212545687,1214,29.41148567199707,41.70369338989258,-6.0,0.7350075195820358,1825.1594257354736
30.78501880758057,78.49780941069974,1964,31.685300827026367,156.61878967285156,56.0,0.7683650103971973,1797.9834294319153
30.091553623047464,79.08569484415169,1823,20.166749954223636,138.52906799316406,-13.0,0.4657177249577311,1372.1370136737823
30.736254095555104,78.27380170740336,1549,34.25810623168945,275.45538330078125,-10.0,0.690951263002884,1560.5784940719604
30.394708363214658,78.85957807623736,1848,17.677648544311523,40.3705940246582,28.0,0.6316694980360755,1457.096745967865
30.7654789095204,78.94976613552123,4032,29.86083221435547,66.75000762939453,1.0,0.4492702712638419,1473.9090251922607
