point_id,lat,lon,label,elevation,slope,aspect,curvature,NDVI,rainfall,competency_index,FS
0,30.9015,78.7756,1,4840,17.126462936401367,183.5103912353516,3.0,0.0601078011374423,1082.8579723834991,0.3799999952316284,2.4629899525700516
1,30.3629,79.2143,1,1476,36.44845581054688,59.72786331176758,60.0,0.6255796019846764,1048.3083617687223,0.44999998807907104,1.2418816413974685
2,30.25813343270113,79.43953272182098,0,1381,30.917499542236328,104.07911682128906,43.0,0.4760320431434934,1310.6355774402618,0.3799999952316284,1.309291014880043
3,30.059762274178382,79.78278769822849,0,1795,30.6081657409668,117.72142791748048,14.0,0.5123896475279734,1424.5852088928225,0.5799999833106995,1.5969314411854196
4,30.31577315124949,79.95660800821261,0,5082,24.90057182312012,75.87084197998047,27.0,0.0419857483564168,1180.3219211101532,0.3799999952316284,1.6613474406784314
5,30.843993471942024,78.74627157539281,0,3409,32.09962844848633,316.26666259765625,-19.0,0.7788955082352458,1218.107212781906,0.3799999952316284,1.2767286940271994
6,30.809674258088076,78.71551384116964,0,3280,29.52548217773437,93.2770538330078,42.0,0.7024745198556835,1218.107212781906,0.3799999952316284,1.3896820812108288
7,30.663704478926256,78.27892463367974,0,1591,39.64593124389648,102.40926361083984,6.0,0.550038805398486,1581.4806699752808,0.5799999833106995,1.2356080178365592
8,30.81350174,78.6179215,1,2460,39.810638427734375,201.2120056152344,18.0,0.4744576731417659,1235.0772643089294,0.3799999952316284,1.0273149614637802
9,30.2851,78.9829,1,631,30.9285945892334,255.9272003173828,67.0,0.367232324331792,1165.2271234989166,0.44999998807907104,1.438865373547597
10,30.0261,78.6278,1,796,34.37165832519531,353.72216796875,15.0,0.7690940816109845,1416.766995191574,0.5799999833106995,1.432526875105018
11,30.99687425184595,79.80036631684813,0,5426,21.79112434387207,58.23904037475586,-4.0,0.0670920140172406,494.0360748767853,0.41999998688697815,2.171804892763293
12,30.344596595726973,79.34903774879386,0,1899,19.4249324798584,195.42446899414065,2.0,0.6345094507354455,1233.693166971207,0.3799999952316284,2.1212207657849094
13,30.572770276686946,79.02891648783472,0,1767,33.50566101074219,334.78515625,25.0,0.8045562252352347,1322.8732430934906,0.3799999952316284,1.205269251586787
14,30.435,79.435,1,1297,14.702216148376465,308.0932922363281,17.0,0.5592121795038428,1293.257737159729,0.5799999833106995,3.3488294724036005
15,30.3931039075594,78.57958011309324,0,830,39.42586135864258,141.95877075195312,-35.0,0.6886270804968185,1303.1884288787842,0.5799999833106995,1.2814672561358529
16,30.92421843484266,79.3367664375368,0,5290,28.442142486572266,224.17076110839844,13.0,0.0783756997830337,1075.329805612564,0.3799999952316284,1.4723295029858752
17,30.41,79.41,1,1809,38.08348846435547,346.1420288085937,-44.0,0.880283134276643,1293.257737159729,0.5799999833106995,1.3230729482402999
18,30.819,78.6149,1,2068,41.241546630859375,163.76718139648438,36.0,0.4438263491331785,1235.0772643089294,0.3799999952316284,0.9926795853522037
19,30.37023218568458,78.68912932967207,0,1976,42.590126037597656,139.22120666503906,62.0,0.6133869089826754,1350.8340108394625,0.44999998807907104,1.034136208581373
20,30.0134,79.9261,1,1456,22.0172061920166,16.104679107666016,-22.0,0.6478544202631256,1508.1483125686646,0.5799999833106995,2.1781796673314404
21,30.5319,79.3541,1,3085,32.27661895751953,181.7050323486328,2.0,0.8062402219795141,1237.6201570034027,0.3799999952316284,1.266262254608933
22,30.61461423,78.3157525,1,1103,37.99652862548828,74.37227630615234,-13.0,0.7029736877152261,1664.3780493736267,0.5799999833106995,1.269775284713655
23,30.2258,78.3755,1,637,4.2480645179748535,310.8285217285156,-16.0,0.6983244905608545,1573.9749550819397,0.44999998807907104,9.917411285823697
24,30.764809800902995,79.37628007770485,0,4290,28.59269905090332,198.1244201660156,83.0,0.1735896318884774,1356.0684311389923,0.3799999952316284,1.4080490637593466
25,30.564416587779743,78.27428554527432,0,1915,26.13546562194824,220.6407928466797,14.0,0.6097307102507902,1706.732907295227,0.44999998807907104,1.5788102817153873
26,30.7412,79.4929,1,3517,46.18926239013672,121.87025451660156,-10.0,0.4532070702259144,1102.4957942962646,0.3799999952316284,0.906776048805477
27,30.4,79.349,1,1646,31.66919708251953,23.29769325256348,-21.0,0.7139520418396234,1077.6563596725464,0.3799999952316284,1.3192219248180819
28,30.548,79.55,1,1455,42.212982177734375,335.51495361328125,-6.0,0.9463936086418364,1195.883160829544,0.3799999952316284,0.9754704561171337
29,30.39363552027744,79.0994064387123,0,1906,35.96299362182617,253.1395874023437,-3.0,0.7546786259521212,1088.2382428646088,0.20000000298023224,0.9183733237821106
30,30.5568,79.5541,1,1590,17.02280044555664,17.879207611083984,-21.0,0.4564857881136951,1144.3018865585327,0.3799999952316284,2.456196980707777
31,30.48617365410488,79.41894216915821,0,1465,45.49717712402344,281.9360656738281,-14.0,0.7737045399120495,1346.0642051696775,0.3799999952316284,0.8931837938079227
32,30.1281,78.3221,1,434,11.373849868774414,207.7249298095703,30.0,0.2860299542117963,1758.00794839859,0.44999998807907104,3.5983095522493462
33,30.4054,79.3426,1,1259,35.24110412597656,298.7616577148437,15.0,0.6450136239782017,1077.6563596725464,0.3799999952316284,1.183761671268841
34,30.1944,79.1939,1,1606,9.723365783691406,160.8571014404297,7.0,0.5428138156471868,1178.509236574173,0.6800000071525574,5.56705456695673
35,30.37330931627975,78.31851589611558,0,1899,22.065444946289062,323.0056457519531,5.0,0.8008431344456457,1592.7767491340635,0.41999998688697815,1.8431338081398607
36,30.416,78.3415,1,2253,30.992441177368164,41.01194763183594,4.0,0.7745605903629786,1624.151246547699,0.44999998807907104,1.350064767250477
37,30.035159250271192,78.51692066486778,0,1301,33.582916259765625,198.0414886474609,-24.0,0.6668245728402324,1470.2509355545044,0.20000000298023224,0.9318886993018909
38,30.945673537050805,78.94097143424294,0,4339,42.58323669433594,9.457785606384276,7.0,0.4226310393530302,937.6397502422332,0.20000000298023224,0.7764157630595411
39,30.35489768348656,79.40550141409607,0,2611,40.42537307739258,104.3027572631836,-53.0,0.627861283033697,1284.074832201004,0.3799999952316284,1.0057889602811367
40,30.9111,78.6814,1,2157,23.586769104003903,276.38604736328125,-3.0,0.3472006570675132,1156.8512678146362,0.3799999952316284,1.7613717553366408
41,30.80200029,78.61786282,1,2460,39.810638427734375,201.2120056152344,18.0,0.4744576731417659,1235.0772643089294,0.3799999952316284,1.0273149614637802
42,30.39,79.39,1,2131,28.90486526489257,331.5876770019531,29.0,0.8741780628504581,1102.231332063675,0.3799999952316284,1.4429690085675615
43,30.59661,79.569767,1,1999,40.6497688293457,11.368937492370604,30.0,0.9796939931998492,1144.3018865585327,0.3799999952316284,1.0182301790511454
44,30.01275647970743,79.54243586615371,0,1972,18.94189071655273,67.83071899414062,22.0,0.7613355616916145,1406.492041349411,0.3799999952316284,2.1208859811168956
45,30.638,78.3297,1,1024,35.02389907836914,263.3681030273437,-8.0,0.5942579023743699,1664.3780493736267,0.5799999833106995,1.3660905111603001
46,30.14387615538978,79.7316313798718,0,2562,34.180023193359375,33.45584487915039,-4.0,0.6826074264950124,1517.2119092941284,0.5799999833106995,1.422566732441745
47,30.38,79.38,1,2131,28.90486526489257,331.5876770019531,29.0,0.8741780628504581,1102.231332063675,0.3799999952316284,1.4429690085675615
48,30.76576332104754,79.03170764341034,0,4142,5.637773513793945,214.92401123046875,-61.0,0.3956372409659845,1584.4772124290466,0.3799999952316284,6.968097571363571
49,30.3799,78.4862,1,730,28.746496200561523,247.44073486328125,9.0,0.338943707000179,1159.3949437141418,0.44999998807907104,1.5490244354232547
50,30.02653220387382,79.25976703441702,0,1892,13.141353607177734,346.0972595214844,-25.0,0.8231818034809207,1260.979769229889,0.3799999952316284,3.134383868768462
51,30.601115011743207,79.57330798132081,0,1999,40.6497688293457,11.368937492370604,30.0,0.9796939931998492,1144.3018865585327,0.3799999952316284,1.0182301790511454
52,30.65830743950606,79.5389518607948,0,2571,68.4759292602539,229.8475646972656,159.0,0.4401503603883112,1314.1456413269043,0.3799999952316284,0.7639805449196319
